14.59,14.28,0.8993,5.351,3.333,4.185,4.781,1
13.99,13.83,0.9183,5.119,3.383,5.234,4.781,1
15.78,14.91,0.8923,5.674,3.434,5.593,5.136,1
14.49,14.61,0.8538,5.715,3.113,4.116,5.396,1
14.33,14.28,0.8831,5.504,3.199,3.328,5.224,1
12.78,13.57,0.8716,5.262,3.026,1.176,4.782,1
12.88,13.5,0.8879,5.139,3.119,2.352,4.607,1
14.28,14.17,0.8944,5.397,3.298,6.685,5.001,1
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,1
13.5,13.85,0.8852,5.351,3.158,2.249,5.176,1
21.18,17.21,0.8989,6.573,4.033,5.78,6.231,2
20.88,17.05,0.9031,6.45,4.032,5.016,6.321,2
20.1,16.99,0.8746,6.581,3.785,1.955,6.449,2
18.76,16.2,0.8984,6.172,3.796,3.12,6.053,2
18.96,16.2,0.9077,6.051,3.897,4.334,5.75,2
19.15,16.45,0.889,6.245,3.815,3.084,6.185,2
18.3,15.89,0.9108,5.979,3.755,2.837,5.962,2
18.94,16.32,0.8942,6.144,3.825,2.908,5.949,2
15.38,14.9,0.8706,5.884,3.268,4.462,5.795,2
17.12,15.55,0.8892,5.85,3.566,2.858,5.746,2
12.7,13.71,0.8491,5.386,2.911,3.26,5.316,3
10.79,12.93,0.8107,5.317,2.648,5.462,5.194,3
11.83,13.23,0.8496,5.263,2.84,5.195,5.307,3
12.19,13.36,0.8579,5.24,2.909,4.857,5.158,3
11.65,13.07,0.8575,5.108,2.85,5.209,5.135,3
12.89,13.77,0.8541,5.495,3.026,6.185,5.316,3
13.2,13.66,0.8883,5.236,3.232,8.315,5.056,3
11.84,13.21,0.8521,5.175,2.836,3.598,5.044,3
12.3,13.34,0.8684,5.243,2.974,5.637,5.063,3
11.41,12.95,0.856,5.09,2.775,4.957,4.825,3